dteday,instant,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2011-04-16,106,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795
2011-04-17,107,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744
2011-04-18,108,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429
2011-04-19,109,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204
2011-05-01,121,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351
2011-05-02,122,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401
2011-05-03,123,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451
2011-05-04,124,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633
2011-05-05,125,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433
2011-05-06,126,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608
2011-05-07,127,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714
2011-05-08,128,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333
2011-05-09,129,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362
2011-05-10,130,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803
2011-05-11,131,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182
2011-05-12,132,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864
2011-05-13,133,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105
2011-05-14,134,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409
2011-05-15,135,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553
2011-05-16,136,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958
2011-05-17,137,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123
2011-05-18,138,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855
2011-05-19,139,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575
2011-06-01,152,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974
2011-06-02,153,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,4232,4968
2011-06-03,154,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312
2011-06-04,155,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342
2011-06-05,156,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906
2011-06-06,157,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548
2011-06-07,158,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833
2011-06-08,159,2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676,3725,4401
2011-06-09,160,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563,3352,3915
2011-06-10,161,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815,3771,4586
2011-06-11,162,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729,3237,4966
2011-06-12,163,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467,2993,4460
2011-06-13,164,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863,4157,5020
2011-06-14,165,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891
2011-06-15,166,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769,4411,5180
2011-06-16,167,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545,3222,3767
2011-06-17,168,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844
2011-06-18,169,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807,3312,5119
2011-06-19,170,2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744
2011-07-01,182,3,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,1246,4116,5362
2011-07-02,183,3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204,2915,5119
2011-07-03,184,3,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2282,2367,4649
2011-07-04,185,3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,3065,2978,6043
2011-07-05,186,3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,1031,3634,4665
2011-07-06,187,3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,784,3845,4629
2011-07-07,188,3,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,754,3838,4592
2011-07-08,189,3,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,692,3348,4040
2011-07-09,190,3,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,1988,3348,5336
2011-07-10,191,3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1743,3138,4881
2011-07-11,192,3,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,723,3363,4086
2011-07-12,193,3,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,662,3596,4258
2011-07-13,194,3,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,748,3594,4342
2011-07-14,195,3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,888,4196,5084
2011-07-15,196,3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1318,4220,5538
2011-07-16,197,3,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,2418,3505,5923
2011-07-17,198,3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2006,3296,5302
2011-07-18,199,3,0,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,841,3617,4458
2011-07-19,200,3,0,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,752,3789,4541
2011-08-01,213,3,0,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,729,3537,4266
2011-08-02,214,3,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,801,4044,4845
2011-08-03,215,3,0,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583,467,3107,3574
2011-08-04,216,3,0,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,799,3777,4576
2011-08-05,217,3,0,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,1023,3843,4866
2011-08-06,218,3,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,1521,2773,4294
2011-08-07,219,3,0,8,0,0,0,1,0.7425,0.715292,0.752917,0.201487,1298,2487,3785
2011-08-08,220,3,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,846,3480,4326
2011-08-09,221,3,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,907,3695,4602
2011-08-10,222,3,0,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,884,3896,4780
2011-08-11,223,3,0,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,812,3980,4792
2011-08-12,224,3,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,1051,3854,4905
2011-08-13,225,3,0,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,1504,2646,4150
2011-08-14,226,3,0,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,1338,2482,3820
2011-08-15,227,3,0,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,775,3563,4338
2011-08-16,228,3,0,8,0,2,1,1,0.700833,0.645837,0.578333,0.236329,721,4004,4725
2011-08-17,229,3,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,668,4026,4694
2011-08-18,230,3,0,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,639,3166,3805
2011-08-19,231,3,0,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,797,3356,4153
2011-09-01,244,3,0,9,0,4,1,1,0.655,0.614921,0.639167,0.141796,783,4332,5115
2011-09-02,245,3,0,9,0,5,1,2,0.643333,0.604808,0.727083,0.139929,875,3852,4727
2011-09-03,246,3,0,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325,1935,2549,4484
2011-09-04,247,3,0,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,2521,2419,4940
2011-09-05,248,3,0,9,1,1,0,2,0.673333,0.625646,0.790417,0.212696,1236,2115,3351
2011-09-06,249,3,0,9,0,2,1,3,0.54,0.5152,0.886957,0.343943,204,2506,2710
2011-09-07,250,3,0,9,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,118,1878,1996
2011-09-08,251,3,0,9,0,4,1,3,0.633913,0.555361,0.939565,0.192748,153,1689,1842
2011-09-09,252,3,0,9,0,5,1,2,0.65,0.578946,0.897917,0.124379,417,3127,3544
2011-09-10,253,3,0,9,0,6,0,1,0.66,0.607962,0.75375,0.153608,1750,3595,5345
2011-09-11,254,3,0,9,0,0,0,1,0.653333,0.609229,0.71375,0.115054,1633,3413,5046
2011-09-12,255,3,0,9,0,1,1,1,0.644348,0.60213,0.692174,0.088913,690,4023,4713
2011-09-13,256,3,0,9,0,2,1,1,0.650833,0.603554,0.7125,0.141804,701,4062,4763
2011-09-14,257,3,0,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,647,4138,4785
2011-09-15,258,3,0,9,0,4,1,2,0.5775,0.553671,0.709167,0.271146,428,3231,3659
2011-09-16,259,3,0,9,0,5,1,2,0.469167,0.461475,0.590417,0.164183,742,4018,4760
2011-09-17,260,3,0,9,0,6,0,2,0.491667,0.478512,0.718333,0.189675,1434,3077,4511
2011-09-18,261,3,0,9,0,0,0,1,0.5075,0.490537,0.695,0.178483,1353,2921,4274
2011-09-19,262,3,0,9,0,1,1,2,0.549167,0.529675,0.69,0.151742,691,3848,4539
2011-10-01,274,4,0,10,0,6,0,2,0.41,0.412863,0.75375,0.292296,480,1949,2429
2011-10-02,275,4,0,10,0,0,0,2,0.356667,0.345317,0.791667,0.222013,616,2302,2918
2011-10-03,276,4,0,10,0,1,1,2,0.384167,0.392046,0.760833,0.0833458,330,3240,3570
2011-10-04,277,4,0,10,0,2,1,1,0.484167,0.472858,0.71,0.205854,486,3970,4456
2011-10-05,278,4,0,10,0,3,1,1,0.538333,0.527138,0.647917,0.17725,559,4267,4826
2011-10-06,279,4,0,10,0,4,1,1,0.494167,0.480425,0.620833,0.134954,639,4126,4765
2011-10-07,280,4,0,10,0,5,1,1,0.510833,0.504404,0.684167,0.0223917,949,4036,4985
2011-10-08,281,4,0,10,0,6,0,1,0.521667,0.513242,0.70125,0.0454042,2235,3174,5409
2011-10-09,282,4,0,10,0,0,0,1,0.540833,0.523983,0.7275,0.06345,2397,3114,5511
2011-10-10,283,4,0,10,1,1,0,1,0.570833,0.542925,0.73375,0.0423042,1514,3603,5117
2011-10-11,284,4,0,10,0,2,1,2,0.566667,0.546096,0.80875,0.143042,667,3896,4563
2011-10-12,285,4,0,10,0,3,1,3,0.543333,0.517717,0.90625,0.24815,217,2199,2416
2011-10-13,286,4,0,10,0,4,1,2,0.589167,0.551804,0.896667,0.141787,290,2623,2913
2011-10-14,287,4,0,10,0,5,1,2,0.550833,0.529675,0.71625,0.223883,529,3115,3644
2011-10-15,288,4,0,10,0,6,0,1,0.506667,0.498725,0.483333,0.258083,1899,3318,5217
2011-10-16,289,4,0,10,0,0,0,1,0.511667,0.503154,0.486667,0.281717,1748,3293,5041
2011-10-17,290,4,0,10,0,1,1,1,0.534167,0.510725,0.579583,0.175379,713,3857,4570
2011-10-18,291,4,0,10,0,2,1,2,0.5325,0.522721,0.701667,0.110087,637,4111,4748
2011-10-19,292,4,0,10,0,3,1,3,0.541739,0.513848,0.895217,0.243339,254,2170,2424
2011-11-01,305,4,0,11,0,2,1,1,0.400833,0.397088,0.68375,0.135571,410,3658,4068
2011-11-02,306,4,0,11,0,3,1,1,0.3775,0.390133,0.71875,0.0820917,370,3816,4186
2011-11-03,307,4,0,11,0,4,1,1,0.408333,0.405921,0.702083,0.136817,318,3656,3974
2011-11-04,308,4,0,11,0,5,1,2,0.403333,0.403392,0.6225,0.271779,470,3576,4046
2011-11-05,309,4,0,11,0,6,0,1,0.326667,0.323854,0.519167,0.189062,1156,2770,3926
2011-11-06,310,4,0,11,0,0,0,1,0.348333,0.362358,0.734583,0.0920542,952,2697,3649
2011-11-07,311,4,0,11,0,1,1,1,0.395,0.400871,0.75875,0.057225,373,3662,4035
2011-11-08,312,4,0,11,0,2,1,1,0.408333,0.412246,0.721667,0.0690375,376,3829,4205
2011-11-09,313,4,0,11,0,3,1,1,0.4,0.409079,0.758333,0.0621958,305,3804,4109
2011-11-10,314,4,0,11,0,4,1,2,0.38,0.373721,0.813333,0.189067,190,2743,2933
2011-11-11,315,4,0,11,1,5,0,1,0.324167,0.306817,0.44625,0.314675,440,2928,3368
2011-11-12,316,4,0,11,0,6,0,1,0.356667,0.357942,0.552917,0.212062,1275,2792,4067
2011-11-13,317,4,0,11,0,0,0,1,0.440833,0.43055,0.458333,0.281721,1004,2713,3717
2011-11-14,318,4,0,11,0,1,1,1,0.53,0.524612,0.587083,0.306596,595,3891,4486
2011-11-15,319,4,0,11,0,2,1,2,0.53,0.507579,0.68875,0.199633,449,3746,4195
2011-11-16,320,4,0,11,0,3,1,3,0.456667,0.451988,0.93,0.136829,145,1672,1817
2011-11-17,321,4,0,11,0,4,1,2,0.341667,0.323221,0.575833,0.305362,139,2914,3053
2011-11-18,322,4,0,11,0,5,1,1,0.274167,0.272721,0.41,0.168533,245,3147,3392
2011-11-19,323,4,0,11,0,6,0,1,0.329167,0.324483,0.502083,0.224496,943,2720,3663
2011-12-01,335,4,0,12,0,4,1,1,0.3125,0.305554,0.524583,0.220158,182,3545,3727
2011-12-02,336,4,0,12,0,5,1,1,0.314167,0.331433,0.625833,0.100754,268,3672,3940
2011-12-03,337,4,0,12,0,6,0,1,0.299167,0.310604,0.612917,0.0957833,706,2908,3614
2011-12-04,338,4,0,12,0,0,0,1,0.330833,0.3491,0.775833,0.0839583,634,2851,3485
2011-12-05,339,4,0,12,0,1,1,2,0.385833,0.393925,0.827083,0.0622083,233,3578,3811
2011-12-06,340,4,0,12,0,2,1,3,0.4625,0.4564,0.949583,0.232583,126,2468,2594
2011-12-07,341,4,0,12,0,3,1,3,0.41,0.400246,0.970417,0.266175,50,655,705
2011-12-08,342,4,0,12,0,4,1,1,0.265833,0.256938,0.58,0.240058,150,3172,3322
2011-12-09,343,4,0,12,0,5,1,1,0.290833,0.317542,0.695833,0.0827167,261,3359,3620
2011-12-10,344,4,0,12,0,6,0,1,0.275,0.266412,0.5075,0.233221,502,2688,3190
2011-12-11,345,4,0,12,0,0,0,1,0.220833,0.253154,0.49,0.0665417,377,2366,2743
2011-12-12,346,4,0,12,0,1,1,1,0.238333,0.270196,0.670833,0.06345,143,3167,3310
2011-12-13,347,4,0,12,0,2,1,1,0.2825,0.301138,0.59,0.14055,155,3368,3523
2011-12-14,348,4,0,12,0,3,1,2,0.3175,0.338362,0.66375,0.0609583,178,3562,3740
2011-12-15,349,4,0,12,0,4,1,2,0.4225,0.412237,0.634167,0.268042,181,3528,3709
2011-12-16,350,4,0,12,0,5,1,2,0.375,0.359825,0.500417,0.260575,178,3399,3577
2011-12-17,351,4,0,12,0,6,0,2,0.258333,0.249371,0.560833,0.243167,275,2464,2739
2011-12-18,352,4,0,12,0,0,0,1,0.238333,0.245579,0.58625,0.169779,220,2211,2431
2011-12-19,353,4,0,12,0,1,1,1,0.276667,0.280933,0.6375,0.172896,260,3143,3403
2012-01-01,366,1,1,1,0,0,0,1,0.37,0.375621,0.6925,0.192167,686,1608,2294
2012-01-02,367,1,1,1,1,1,0,1,0.273043,0.252304,0.381304,0.329665,244,1707,1951
2012-01-03,368,1,1,1,0,2,1,1,0.15,0.126275,0.44125,0.365671,89,2147,2236
2012-01-04,369,1,1,1,0,3,1,2,0.1075,0.119337,0.414583,0.1847,95,2273,2368
2012-01-05,370,1,1,1,0,4,1,1,0.265833,0.278412,0.524167,0.129987,140,3132,3272
2012-01-06,371,1,1,1,0,5,1,1,0.334167,0.340267,0.542083,0.167908,307,3791,4098
2012-01-07,372,1,1,1,0,6,0,1,0.393333,0.390779,0.531667,0.174758,1070,3451,4521
2012-01-08,373,1,1,1,0,0,0,1,0.3375,0.340258,0.465,0.191542,599,2826,3425
2012-01-09,374,1,1,1,0,1,1,2,0.224167,0.247479,0.701667,0.0989,106,2270,2376
2012-01-10,375,1,1,1,0,2,1,1,0.308696,0.318826,0.646522,0.187552,173,3425,3598
2012-01-11,376,1,1,1,0,3,1,2,0.274167,0.282821,0.8475,0.131221,92,2085,2177
2012-01-12,377,1,1,1,0,4,1,2,0.3825,0.381938,0.802917,0.180967,269,3828,4097
2012-01-13,378,1,1,1,0,5,1,1,0.274167,0.249362,0.5075,0.378108,174,3040,3214
2012-01-14,379,1,1,1,0,6,0,1,0.18,0.183087,0.4575,0.187183,333,2160,2493
2012-01-15,380,1,1,1,0,0,0,1,0.166667,0.161625,0.419167,0.251258,284,2027,2311
2012-01-16,381,1,1,1,1,1,0,1,0.19,0.190663,0.5225,0.231358,217,2081,2298
2012-01-17,382,1,1,1,0,2,1,2,0.373043,0.364278,0.716087,0.34913,127,2808,2935
2012-01-18,383,1,1,1,0,3,1,1,0.303333,0.275254,0.443333,0.415429,109,3267,3376
2012-01-19,384,1,1,1,0,4,1,1,0.19,0.190038,0.4975,0.220158,130,3162,3292
2012-02-01,397,1,1,2,0,3,1,1,0.469167,0.466538,0.507917,0.189067,304,4275,4579
2012-02-02,398,1,1,2,0,4,1,2,0.399167,0.398971,0.672917,0.187187,190,3571,3761
2012-02-03,399,1,1,2,0,5,1,1,0.313333,0.309346,0.526667,0.178496,310,3841,4151
2012-02-04,400,1,1,2,0,6,0,2,0.264167,0.272725,0.779583,0.121896,384,2448,2832
2012-02-05,401,1,1,2,0,0,0,2,0.265833,0.264521,0.687917,0.175996,318,2629,2947
2012-02-06,402,1,1,2,0,1,1,1,0.282609,0.296426,0.622174,0.1538,206,3578,3784
2012-02-07,403,1,1,2,0,2,1,1,0.354167,0.361104,0.49625,0.147379,199,4176,4375
2012-02-08,404,1,1,2,0,3,1,2,0.256667,0.266421,0.722917,0.133721,109,2693,2802
2012-02-09,405,1,1,2,0,4,1,1,0.265,0.261988,0.562083,0.194037,163,3667,3830
2012-02-10,406,1,1,2,0,5,1,2,0.280833,0.293558,0.54,0.116929,227,3604,3831
2012-02-11,407,1,1,2,0,6,0,3,0.224167,0.210867,0.73125,0.289796,192,1977,2169
2012-02-12,408,1,1,2,0,0,0,1,0.1275,0.101658,0.464583,0.409212,73,1456,1529
2012-02-13,409,1,1,2,0,1,1,1,0.2225,0.227913,0.41125,0.167283,94,3328,3422
2012-02-14,410,1,1,2,0,2,1,2,0.319167,0.333946,0.50875,0.141179,135,3787,3922
2012-02-15,411,1,1,2,0,3,1,1,0.348333,0.351629,0.53125,0.1816,141,4028,4169
2012-02-16,412,1,1,2,0,4,1,2,0.316667,0.330162,0.752917,0.091425,74,2931,3005
2012-02-17,413,1,1,2,0,5,1,1,0.343333,0.351629,0.634583,0.205846,349,3805,4154
2012-02-18,414,1,1,2,0,6,0,1,0.346667,0.355425,0.534583,0.190929,1435,2883,4318
2012-02-19,415,1,1,2,0,0,0,2,0.28,0.265788,0.515833,0.253112,618,2071,2689
2012-03-01,426,1,1,3,0,4,1,1,0.485833,0.475371,0.615417,0.226987,325,4665,4990
2012-03-02,427,1,1,3,0,5,1,2,0.353333,0.359842,0.657083,0.144904,246,2948,3194
2012-03-03,428,1,1,3,0,6,0,2,0.414167,0.413492,0.62125,0.161079,956,3110,4066
2012-03-04,429,1,1,3,0,0,0,1,0.325833,0.303021,0.403333,0.334571,710,2713,3423
2012-03-05,430,1,1,3,0,1,1,1,0.243333,0.241171,0.50625,0.228858,203,3130,3333
2012-03-06,431,1,1,3,0,2,1,1,0.258333,0.255042,0.456667,0.200875,221,3735,3956
